user_id,friend_id,is_friend,common_friends_count,demographics_sex_user,demographics_age_user,demographics_city_user,education_career_education_university_user,education_career_education_faculty_user,demographics_sex_friend,demographics_age_friend,demographics_city_friend,education_career_education_university_friend,education_career_education_faculty_friend
154151541,178325795,True,5,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,РТУ МИРЭА,Неизвестно
154151541,184572109,True,5,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Москва,Неизвестно,Неизвестно
154151541,185888968,True,7,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,187140484,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Евпатория,Неизвестно,Неизвестно
154151541,191557938,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Одинцово,Неизвестно,Неизвестно
154151541,192393433,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,26.0,Пенза,Неизвестно,Неизвестно
154151541,195211764,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,198752426,True,2,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Toronto,Неизвестно,Неизвестно
154151541,202363248,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Рязань,Неизвестно,Неизвестно
154151541,203874757,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,209508780,True,6,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Москва,Неизвестно,Неизвестно
154151541,210813066,True,3,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,РТУ МИРЭА,Неизвестно
154151541,212060697,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,23.0,Москва,Неизвестно,Неизвестно
154151541,221167855,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Москва,Неизвестно,Неизвестно
154151541,221280561,True,8,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Химки,Неизвестно,Неизвестно
154151541,221684247,True,7,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Москва,Неизвестно,Неизвестно
154151541,225632479,True,6,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,227234115,True,5,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,МГТУ им. Н. Э. Баумана (бывш. МВТУ),Неизвестно
154151541,230631594,True,7,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Химки,Неизвестно,Неизвестно
154151541,238444902,True,4,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Москва,Неизвестно,Неизвестно
154151541,241984007,True,4,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,56.0,Москва,Неизвестно,Неизвестно
154151541,246872239,True,18,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,21.0,Москва,РТУ МИРЭА,Институт информационных технологий
154151541,248922122,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,21.0,Москва,Неизвестно,Неизвестно
154151541,254249175,True,7,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,21.0,Пенза,РТУ МИРЭА,Неизвестно
154151541,255552012,True,6,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,22.0,Москва,"Президентская академия (РАНХиГС, бывш. АНХ)",Неизвестно
154151541,265111970,True,3,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,РТУ МИРЭА,Институт информационных технологий
154151541,269388306,True,5,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,Неизвестно,Неизвестно
154151541,270809295,True,0,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,19.0,Москва,Неизвестно,Неизвестно
154151541,272517123,True,3,мужской,22.0,Химки,Неизвестно,Неизвестно,женский,23.0,Химки,РХТУ им. Д. И. Менделеева,Неизвестно
154151541,273596951,True,6,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,РТУ МИРЭА,Неизвестно
154151541,275267938,True,6,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Таганрог,Неизвестно,Неизвестно
154151541,276082772,True,2,мужской,22.0,Химки,Неизвестно,Неизвестно,мужской,22.0,Москва,РЭУ им. Г. В. Плеханова,Факультет бизнеса «Капитаны»
